CONSTTK const
IDENFR i
ASSIGN =
INTCON 0
SEMICN ;
IDENFR i
LSS <
INTCON 3
SEMICN ;
IDENFR i
ASSIGN =
IDENFR i
PLUS +
INTCON 1
RPARENT )
LBRACE {
SWITCHTK switch
LPARENT (
IDENFR i
RPARENT )
LBRACE {
CASETK case
INTCON 0
COLON :
PRINTFTK printf
LPARENT (
STRCON case0
RPARENT )
SEMICN ;
DEFAULTTK default
COLON :
SEMICN ;
RBRACE }
RBRACE }
FORTK for
LPARENT (
IDENFR i
ASSIGN =
INTCON 3
SEMICN ;
IDENFR i
GEQ >=
INTCON 0
SEMICN ;
IDENFR i
ASSIGN =
IDENFR i
MINU -
INTCON 1
RPARENT )
LBRACE {
SWITCHTK switch
LPARENT (
IDENFR i
RPARENT )
LBRACE {
CASETK case
INTCON 0
COLON :
PRINTFTK printf
LPARENT (
STRCON againCase0
RPARENT )
SEMICN ;
CASETK case
INTCON 1
COLON :
PRINTFTK printf
LPARENT (
STRCON case1
RPARENT )
SEMICN ;
DEFAULTTK default
COLON :
SEMICN ;
RBRACE }
RBRACE }
RBRACE }
RETURNTK return
LPARENT (
INTCON 0
RPARENT )
SEMICN ;
RBRACE }
VOIDTK void
IDENFR No_Return_No_Para
LPARENT (
RPARENT )
LBRACE {
LBRACE {
SEMICN ;
RBRACE }
RBRACE }
VOIDTK void
IDENFR Has_Void_Return
LPARENT (
RPARENT )
LBRACE {
PRINTFTK printf
LPARENT (
STRCON this is Has_Void_Return
RPARENT )
SEMICN ;
RETURNTK return
SEMICN ;
RBRACE }
CHARTK char
IDENFR Has_ReturnAndTwoPara_Func
LPARENT (
INTTK int
IDENFR a
COMMA ,
INTTK int
IDENFR b
RPARENT )
LBRACE {
RETURNTK return
LPARENT (
CHARCON a
RPARENT )
SEMICN ;
RBRACE }
VOIDTK void
MAINTK main
LPARENT (
RPARENT )
LBRACE {
INTTK int
IDENFR sum
SEMICN ;
CHARTK char
IDENFR ans
SEMICN ;
SCANFTK scanf
LPARENT (
IDENFR sum
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON 18373494
RPARENT )
SEMICN ;
IDENFR sum
ASSIGN =
IDENFR Has_ReturnAndOnePara_Func
LPARENT (
INTCON 0
RPARENT )
SEMICN ;
IDENFR ans
ASSIGN =
IDENFR Has_ReturnAndTwoPara_Func
LPARENT (
INTCON 0
COMMA ,
INTCON 0
RPARENT )
SEMICN ;
IDENFR No_Return_No_Para
LPARENT (
RPARENT )
SEMICN ;
IDENFR Has_Void_Return
LPARENT (
RPARENT )
SEMICN ;
IDENFR sum
ASSIGN =
IDENFR aA
SEMICN ;
IDENFR sum
ASSIGN =
PLUS +
IDENFR aA
SEMICN ;
IDENFR sum
ASSIGN =
MINU -
IDENFR b
LBRACK [
INTCON 0
RBRACK ]
SEMICN ;
IDENFR sum
ASSIGN =
IDENFR b2
LBRACK [
INTCON 0
RBRACK ]
LBRACK [
INTCON 0
RBRACK ]
SEMICN ;
IDENFR sum
ASSIGN =
LPARENT (
IDENFR sum
RPARENT )
SEMICN ;
IDENFR sum
ASSIGN =
INTCON 0
SEMICN ;
IDENFR ans
ASSIGN =
CHARCON c
SEMICN ;
IDENFR sum
ASSIGN =
IDENFR aA
MULT *
IDENFR a1
SEMICN ;
IDENFR sum
ASSIGN =
IDENFR aA
PLUS +
IDENFR aA
SEMICN ;
PRINTFTK printf
LPARENT (
IDENFR sum
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON wdnmd3
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON wdnmd4
RPARENT )
SEMICN ;
LBRACE {
RBRACE }
RBRACE }
