CONSTTK const
IDENFR fixed_NumArray1
LBRACK [
INTCON 5
RBRACK ]
ASSIGN =
LBRACE {
INTCON 0
COMMA ,
INTCON 2
COMMA ,
INTCON 4
COMMA ,
INTCON 6
COMMA ,
INTCON 8
RBRACE }
SEMICN ;
SCANFTK scanf
LPARENT (
IDENFR variable_num1
RPARENT )
SEMICN ;
SCANFTK scanf
LPARENT (
IDENFR variable_num2
RPARENT )
SEMICN ;
FORTK for
LPARENT (
IDENFR i
ASSIGN =
INTCON 0
SEMICN ;
IDENFR i
LEQ <=
INTCON 4
SEMICN ;
IDENFR i
ASSIGN =
IDENFR i
PLUS +
INTCON 1
RPARENT )
LBRACE {
SWITCHTK switch
LPARENT (
IDENFR i
RPARENT )
LBRACE {
CASETK case
INTCON 0
COLON :
LBRACE {
FORTK for
LPARENT (
IDENFR j
ASSIGN =
INTCON 0
SEMICN ;
IDENFR j
LSS <
INTCON 5
SEMICN ;
IDENFR j
ASSIGN =
IDENFR j
PLUS +
INTCON 1
RPARENT )
LBRACE {
IDENFR variable_NumArray2
LBRACK [
INTCON 0
RBRACK ]
LBRACK [
IDENFR j
RBRACK ]
ASSIGN =
IDENFR fixed_NumArray1
LBRACK [
IDENFR j
RBRACK ]
SEMICN ;
IDENFR fixed_NumArray1
LBRACK [
IDENFR j
RBRACK ]
ASSIGN =
IDENFR fixed_NumArray1
LBRACK [
IDENFR j
RBRACK ]
PLUS +
INTCON 1
SEMICN ;
RBRACE }
RBRACE }
CASETK case
INTCON 1
COLON :
LBRACE {
FORTK for
LPARENT (
IDENFR j
ASSIGN =
INTCON 0
SEMICN ;
IDENFR j
LSS <
INTCON 5
SEMICN ;
IDENFR j
ASSIGN =
IDENFR j
PLUS +
INTCON 1
RPARENT )
LBRACE {
IDENFR variable_NumArray2
LBRACK [
INTCON 1
RBRACK ]
LBRACK [
IDENFR j
RBRACK ]
ASSIGN =
IDENFR fixed_NumArray1
LBRACK [
IDENFR j
RBRACK ]
SEMICN ;
IDENFR fixed_NumArray1
LBRACK [
IDENFR j
RBRACK ]
ASSIGN =
IDENFR fixed_NumArray1
LBRACK [
IDENFR j
RBRACK ]
PLUS +
INTCON 1
SEMICN ;
RBRACE }
RBRACE }
CASETK case
INTCON 2
COLON :
LBRACE {
FORTK for
LPARENT (
IDENFR j
ASSIGN =
INTCON 0
SEMICN ;
IDENFR j
LSS <
INTCON 5
SEMICN ;
IDENFR j
ASSIGN =
IDENFR j
PLUS +
INTCON 1
RPARENT )
LBRACE {
IDENFR variable_NumArray2
LBRACK [
INTCON 2
RBRACK ]
LBRACK [
IDENFR j
RBRACK ]
ASSIGN =
IDENFR fixed_NumArray1
LBRACK [
IDENFR j
RBRACK ]
SEMICN ;
IDENFR fixed_NumArray1
LBRACK [
IDENFR j
RBRACK ]
ASSIGN =
IDENFR fixed_NumArray1
LBRACK [
IDENFR j
RBRACK ]
PLUS +
INTCON 1
SEMICN ;
RBRACE }
RBRACE }
CASETK case
INTCON 3
COLON :
LBRACE {
FORTK for
LPARENT (
IDENFR j
ASSIGN =
INTCON 0
SEMICN ;
IDENFR j
LSS <
INTCON 5
SEMICN ;
IDENFR j
ASSIGN =
IDENFR j
PLUS +
INTCON 1
RPARENT )
LBRACE {
IDENFR variable_NumArray2
LBRACK [
INTCON 3
RBRACK ]
LBRACK [
IDENFR j
RBRACK ]
ASSIGN =
IDENFR fixed_NumArray1
LBRACK [
IDENFR j
RBRACK ]
SEMICN ;
IDENFR fixed_NumArray1
LBRACK [
IDENFR j
RBRACK ]
ASSIGN =
IDENFR fixed_NumArray1
LBRACK [
IDENFR j
RBRACK ]
PLUS +
INTCON 1
SEMICN ;
RBRACE }
RBRACE }
DEFAULTTK default
COLON :
LBRACE {
FORTK for
LPARENT (
IDENFR j
ASSIGN =
INTCON 0
SEMICN ;
IDENFR j
LSS <
INTCON 5
SEMICN ;
IDENFR j
ASSIGN =
IDENFR j
PLUS +
INTCON 1
RPARENT )
LBRACE {
IDENFR variable_NumArray2
LBRACK [
INTCON 4
RBRACK ]
LBRACK [
IDENFR j
RBRACK ]
ASSIGN =
IDENFR fixed_NumArray1
LBRACK [
IDENFR j
RBRACK ]
SEMICN ;
RBRACE }
RBRACE }
RBRACE }
RBRACE }
PRINTFTK printf
LPARENT (
STRCON 18373039
RPARENT )
SEMICN ;
WHILETK while
LPARENT (
IDENFR k
LSS <
INTCON 5
RPARENT )
LBRACE {
PRINTFTK printf
LPARENT (
IDENFR variable_NumArray2
LBRACK [
IDENFR k
RBRACK ]
LBRACK [
INTCON 0
RBRACK ]
RPARENT )
SEMICN ;
IDENFR k
ASSIGN =
IDENFR k
PLUS +
INTCON 1
SEMICN ;
RBRACE }
IDENFR printFunc1
LPARENT (
IDENFR variable_NumArray2
LBRACK [
INTCON 0
RBRACK ]
LBRACK [
INTCON 1
RBRACK ]
COMMA ,
IDENFR variable_NumArray2
LBRACK [
INTCON 0
RBRACK ]
LBRACK [
INTCON 3
RBRACK ]
RPARENT )
SEMICN ;
IDENFR printFunc1
LPARENT (
IDENFR variable_NumArray2
LBRACK [
INTCON 0
RBRACK ]
LBRACK [
INTCON 2
RBRACK ]
COMMA ,
MINU -
IDENFR variable_NumArray2
LBRACK [
INTCON 0
RBRACK ]
LBRACK [
INTCON 4
RBRACK ]
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON hellow
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON go,
COMMA ,
IDENFR variable_num1
RPARENT )
SEMICN ;
RETURNTK return
SEMICN ;
RBRACE }
